clause_id,regulation_text,human_label,llm_prediction,ambiguity_terms,ambiguity_type,correct
REG001,Students must maintain a minimum of 75% attendance to be eligible for semester examinations.,non_ambiguous,non_ambiguous,none,none,true
REG002,Students with exceptional circumstances may be granted attendance relaxation at the discretion of the academic committee.,ambiguous,ambiguous,"may, exceptional circumstances, discretion, granted","context-dependent, permissive",true
REG003,Re-evaluation requests must be submitted within 15 days of result declaration.,non_ambiguous,non_ambiguous,none,none,true
REG004,The examination committee may permit re-evaluation if reasonable grounds are demonstrated.,ambiguous,ambiguous,"may, reasonable","subjective, permissive",true
REG005,Students belonging to SC/ST categories with family income below Rs 200000 are eligible for fee waiver.,non_ambiguous,non_ambiguous,none,none,true
REG006,Fee installment may be allowed for students facing genuine financial hardship.,ambiguous,ambiguous,"may, genuine, allowed","subjective, permissive",true
REG007,Medical certificates must be issued by a government hospital or recognized medical authority.,non_ambiguous,non_ambiguous,none,none,true
REG008,Medical excuses will be considered valid if the illness was sufficiently serious to prevent attendance.,ambiguous,ambiguous,"valid, considered","subjective, permissive",true
REG009,Grade appeals must be filed within 30 days of grade publication.,non_ambiguous,non_ambiguous,none,none,true
REG010,Grade changes may be approved if there is substantial evidence of evaluation error.,ambiguous,ambiguous,"may, substantial, approved","subjective, permissive",true
REG011,Laboratory attendance must be at least 80% for technical programs.,non_ambiguous,non_ambiguous,none,none,true
REG012,Students demonstrating adequate progress in research may be granted academic flexibility.,ambiguous,ambiguous,"may, adequate, granted","subjective, permissive",true
REG013,Transcripts will be issued within 30 days of request submission.,non_ambiguous,non_ambiguous,none,none,true
REG014,Transcript delays beyond reasonable timeframes may warrant compensation.,ambiguous,ambiguous,"may, reasonable","subjective, permissive",true
REG015,Students must score at least 40% to pass an examination.,non_ambiguous,non_ambiguous,none,none,true
REG016,Borderline cases may be reviewed by the examination board for possible grade adjustment.,ambiguous,ambiguous,"may, Borderline, reviewed, Borderline cases","subjective, context-dependent, permissive",true
REG017,Industry internships of 30 days or more qualify for attendance relaxation under NBA guidelines.,non_ambiguous,non_ambiguous,none,none,true
REG018,Internships of appropriate duration and quality may be considered for academic credit.,ambiguous,ambiguous,"may, appropriate, considered, quality","subjective, permissive",true
REG019,Students must submit grievances within 7 days of the disputed event.,non_ambiguous,non_ambiguous,none,none,true
REG020,Grievances submitted after the deadline may be entertained in special circumstances.,ambiguous,ambiguous,"may, special circumstances, entertained","context-dependent, permissive",true
REG021,Plagiarism detection software will flag submissions with more than 20% similarity.,non_ambiguous,non_ambiguous,none,none,true
REG022,Similarity reports will be evaluated considering the nature and context of the work.,ambiguous,ambiguous,nature and context,context-dependent,true
REG023,Students must complete all course requirements to be eligible for degree conferral.,non_ambiguous,non_ambiguous,none,none,true
REG024,Degree conferral may be delayed if the student's conduct record is unsatisfactory.,ambiguous,ambiguous,"may, unsatisfactory","subjective, permissive",true
REG025,Hostel fees must be paid by the 10th of each month.,non_ambiguous,non_ambiguous,none,none,true
REG026,Late fee payment may be permitted if the delay was due to unavoidable circumstances.,ambiguous,ambiguous,"may, unavoidable circumstances, permitted","context-dependent, permissive",true
REG027,Students must maintain a CGPA of 6.0 or above to continue in the program.,non_ambiguous,non_ambiguous,none,none,true
REG028,Students with marginally low CGPA may be allowed to continue under academic probation.,ambiguous,ambiguous,"may, allowed, marginally","subjective, permissive",true
REG029,Research publications in Scopus-indexed journals qualify for academic recognition.,non_ambiguous,non_ambiguous,none,none,true
REG030,Publications in reputable journals may be considered for academic flexibility.,ambiguous,ambiguous,"may, reputable, considered","subjective, permissive",true
